OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1903483,04092110130,Holly Ridge Middle Sch. Cafeteria,950 HOLLY SPRINGS RD,,HOLLY SPRINGS,NC,27540-7370,(919) 577-1310,2002/07/17 04:00:00+00,Public School Lunchrooms,5789,-78.81529539,35.65412904,M
1903484,04092110131,Holly Ridge Elementary Cafeteria,900 HOLLY SPRINGS RD,,HOLLY SPRINGS,NC,27540-7370,(919) 577-1300 ext. 23118,2002/07/17 04:00:00+00,Public School Lunchrooms,5791,-78.81529539,35.65412904,M
1903485,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 04:00:00+00,Meat Market,5763,-78.65050023,35.73622566,M
1903486,04092110132,Reedy Creek Middle Sch. Cafeteria,930 Reedy Creek Rd ,,CARY,NC,27513,(919) 460-3504 ext. 21498,2002/07/26 04:00:00+00,Public School Lunchrooms,5792,-78.7681835,35.81273345,M
1903487,04092010154,China Star,3201-101 EDWARDS MILL RD ,Ste 101,RALEIGH,NC,27612-5385,(919) 781-1448,1991/05/06 04:00:00+00,Restaurant,5780,-78.70556784,35.82545067,M
1903488,04092013475,Bojangles # 29,12109 Cloverleaf Dr,,WAKE FOREST,NC,27587-6516,(919) 554-2243,2001/12/14 05:00:00+00,Restaurant,5810,-78.54093466,35.97688776,M
1903489,04092013595,Goodberry's #12,9870 Leesville RD ,,RALEIGH,NC,27613-7536,(919) 847-0453,2002/05/24 04:00:00+00,Restaurant,5787,-78.72831344,35.90771409,M
1903490,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 05:00:00+00,Restaurant,5835,-78.55938498,35.79875761,M
1903491,04092018700,Chick-fil-A #01488,220 SHENSTONE BLVD,,GARNER,NC,27529,,2021/08/28 04:00:00+00,Restaurant,5836,-78.58261702,35.69212111,M
1903492,04092018096,Asali Desserts and Cafe,107 S Edinburgh DR ,,CARY,NC,27511,(919) 362-7882,2019/05/02 04:00:00+00,Restaurant,5799,-78.79822545,35.73935005,M
1903493,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 05:00:00+00,Restaurant,5837,-78.88824644,35.84415135,M
1903494,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 04:00:00+00,Restaurant,5884,-78.67755439,35.7900473,M
1903495,04092110009,Baucom Elem. Sch. Cafeteria,400 HUNTER ST ,,APEX,NC,27502-1320,(919) 387-2175,1991/09/17 04:00:00+00,Public School Lunchrooms,5894,-78.85424336,35.73741961,M
1903496,04092013412,Staybridge Suites Sundowner Room,1012 AIRPORT BLVD,,MORRISVILLE,NC,27560-9195,(919) 468-0180,2001/09/28 04:00:00+00,Restaurant,5916,-78.81827441,35.85781565,M
1903497,04092021137,Lowes Foods #189 Produce ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(919) 217-9184,2002/08/28 04:00:00+00,Food Stand,5958,-78.50515596,35.79511678,M
1903498,04092013907,Jason's Deli,909 Spring Forest Rd,Suite 100,RALEIGH,NC,27609,(919) 855-9898,2003/10/06 04:00:00+00,Restaurant,5969,-78.62312587,35.86765935,M
1903499,04092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995/01/10 05:00:00+00,Restaurant,5981,-78.63894874,35.78321051,M
1903500,04092110057,Millbrook Sr. High Cafeteria,2201 SPRING FOREST RD ,,RALEIGH,NC,27615-7536,(919) 850-8796,1991/09/17 04:00:00+00,Public School Lunchrooms,5991,-78.60300107,35.86585561,M
1903501,04092110027,West Millbrook Middle Sch. Cafeteria,8815 Strickland Rd ,,RALEIGH,NC,27615,(919) 870-4050 ext. 24301,1991/09/17 04:00:00+00,Public School Lunchrooms,5990,-78.6438736,35.89638834,M
1903502,04092300264,ALKAREEM GROCERY,10285  CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 336-3174,2014/02/07 05:00:00+00,Meat Market,5995,-78.82788003,35.83012574,M
1903503,04092011958,Goodberry's Creamery,2325 Davis Dr ,,CARY,NC,27560,(919) 469-3350,1996/11/15 05:00:00+00,Restaurant,6024,-78.84745125,35.78961368,M
1903504,04092010585,Players Retreat,105 OBERLIN RD,,RALEIGH,NC,27605-1648,(919) 755-9589,1991/03/19 04:00:00+00,Restaurant,6029,-78.66152519,35.78621443,M
1903505,04092090005,Garner Senior Center,205 E GARNER RD ,,GARNER,NC,27529-3311,(919) 772-5057,1991/04/02 04:00:00+00,Elderly Nutrition Sites (catered),6033,-78.6037631,35.70719056,M
1903506,04092110062,Knightdale Elem. Sch. Cafeteria,109 RIDGE ST ,,KNIGHTDALE,NC,27545-8996,(919) 266-8540 ext. 21663,1991/10/16 04:00:00+00,Public School Lunchrooms,6040,-78.4779126,35.78387328,M
1903507,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 04:00:00+00,Public School Lunchrooms,6043,-78.60333819,35.78424685,M
1903508,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 04:00:00+00,Public School Lunchrooms,6045,-78.31958692,35.83895372,M
1903509,04092011062,Char-Grill,4617 Atlantic Ave,,RALEIGH,NC,27604-8103,(919) 954-9556,1992/03/10 04:00:00+00,Restaurant,6052,-78.60292943,35.84801871,M
1903510,04092010094,Buffaloe Lanes North Foodservice,5900 Oak Forest Dr,,RALEIGH,NC,27616-2903,(919) 876-5681,1991/05/02 04:00:00+00,Restaurant,6060,-78.58853366,35.86304841,M
1903511,04092021193,Harris Teeter #112 Meat Market/Seafood,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,6075,-78.7805746,35.804703,M
1903512,04092021200,Thomas Brooks Park,111 Brooks Park Ln ,,CARY,NC,27519,(919) 621-8410,2003/06/23 04:00:00+00,Food Stand,6074,-78.89913516,35.79551424,M
1903513,04092110010,Apex Middle School Cafeteria,400 E MOORE ST ,,APEX,NC,27502-1927,(919) 387-2194,1991/09/17 04:00:00+00,Public School Lunchrooms,6079,-78.84784964,35.72574966,M
1903514,04092110007,Briarcliff Elementary Cafeteria,1220 POND ST,,CARY,NC,27511-4418,(919) 460-3450,1991/09/17 04:00:00+00,Public School Lunchrooms,6094,-78.78826469,35.76866673,M
1903515,04092021125,Cook Out #19,1201 NEW BERN AVE ,,RALEIGH,NC,27610-2529,(919) 821-5410,2002/06/13 04:00:00+00,Food Stand,6113,-78.6218718,35.78018765,M
1903516,04092015636,WALTONWOOD AT CARY DINING,750 SE CARY PKY ,,CARY,NC,27511,(919) 460-7330,2010/05/14 04:00:00+00,Restaurant,6132,-78.77482013,35.74902725,M
1903517,04092016375,SUSHI ONE,8470 HONEYCUTT RD ,#100,RALEIGH,NC,27615,(919) 615-4024,2013/02/13 05:00:00+00,Restaurant,6135,-78.62166097,35.89510574,M
1903518,04092010490,Meredith College Dining Hall,3800 HILLSBOROUGH ST ,,RALEIGH,NC,27607-5237,(919) 760-8377,1991/03/19 04:00:00+00,Restaurant,6141,-78.68916347,35.79996371,M
1903519,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 05:00:00+00,Meat Market,6161,-78.6129263,35.78878222,M
1903520,04092110014,Brentwood Elementary Cafeteria,3426 Ingram Dr,,RALEIGH,NC,27604-2536,(919) 850-8720 ext. 26311,1991/09/18 04:00:00+00,Public School Lunchrooms,6192,-78.59691515,35.82925239,M
1903521,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 04:00:00+00,Public School Lunchrooms,6197,-78.55535345,35.87372438,M
1903522,04092021288,Harris Teeter #43 Meat Market & Seafood,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 04:00:00+00,Food Stand,6204,-78.50482681,35.94464173,M
1903523,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 04:00:00+00,Restaurant,6211,-78.64564398,35.78023303,M
1903524,04092110092,West Lake Middle Sch. Cafeteria,4600 W LAKE RD,YEAR ROUND,APEX,NC,27539-7657,(919) 662-2917,1992/07/01 04:00:00+00,Public School Lunchrooms,6226,-78.76185019,35.66034209,M
1903525,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 04:00:00+00,Restaurant,6232,-78.6857282,35.91006629,M
1903526,04092021217,Cook Out # 24,3222 S Wilmington St ,,RALEIGH,NC,27603,(919) 661-5811,2003/09/09 04:00:00+00,Food Stand,6244,-78.65069831,35.73659057,M
1903527,04092030287,FLATTZ (WCID #538),9420 FORUM DR ,SUITE 111,RALEIGH,NC,27615,(919) 457-6200,2015/08/25 04:00:00+00,Mobile Food Units,6262,-78.65461142,35.89932701,M
1903528,04092011186,Kashin Restaurant,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 05:00:00+00,Restaurant,6304,-78.73871452,35.76064286,M
1903529,04092110064,Combs Elementary Cafeteria,1600 LORIMER RD ,,RALEIGH,NC,27606-2626,(919) 233-4300 ext. 21008,1991/09/16 04:00:00+00,Public School Lunchrooms,6312,-78.70364826,35.77692739,M
1903530,04092110065,Athens Drive Sr. High Cafeteria,1420 ATHENS DR ,,RALEIGH,NC,27606-2427,(919) 233-4050 ext. 24891,1991/09/16 04:00:00+00,Public School Lunchrooms,6313,-78.71223403,35.76837413,M
1903531,04092110097,Davis Drive Middle Sch. Cafeteria,2101 DAVIS DR,,CARY,NC,27519-9276,(919) 387-3038,1995/05/01 04:00:00+00,Public School Lunchrooms,6325,-78.85122421,35.77868872,M
1903532,04092013719,La Rancherita,4325-3000 Glenwood Ave,,RALEIGH,NC,27610,(919) 785-1951,2002/11/18 05:00:00+00,Restaurant,6247,-78.67658819,35.8395892,M
1903533,04092021235,Sam's Club #8223 Deli/Rotisserie,2537 S Saunders St ,,RALEIGH,NC,27603,(919) 839-1700,2003/10/27 04:00:00+00,Food Stand,6355,-78.64662127,35.75036941,M
1903534,04092020789,Domino's Pizza,4237-103 Louisburg RD ,,RALEIGH,NC,27604-4348,(919) 872-7222,1997/08/01 04:00:00+00,Food Stand,6320,-78.57731584,35.8413784,M
1903535,04092013805,McDonald's #28245,110 Carillon Dr ,,GARNER,NC,27529,(919) 771-2441,2003/04/23 04:00:00+00,Restaurant,6363,-78.58282245,35.69257858,M
1903536,04092013943,St. Raphael Hall Foodservice,5801 Falls Of Neuse Rd ,,RALEIGH,NC,27609,(919) 865-5705,2003/12/01 05:00:00+00,Restaurant,6382,-78.61925176,35.85949781,M
1903537,04092017018,FOOD LION #1338 DELI,620 LAURA DUNCAN RD ,,APEX,NC,27502,(919) 362-3904,2015/09/01 04:00:00+00,Restaurant,6393,-78.84201223,35.73509961,M
1903538,04092017552,STARBUCKS #29679,2815 ROGERS RD ,SUITE 100,WAKE FOREST,NC,27587,(919) 971-0664,2017/03/03 05:00:00+00,Restaurant,6398,-78.52502096,35.95329016,M
1903539,04092160023,Spring Arbor Of East Raleigh Kitchen,1810 New Hope Rd,,RALEIGH,NC,27604,(919) 250-0255,2003/06/29 04:00:00+00,Institutional Food Service,6368,-78.56460892,35.80557253,M
1903540,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 05:00:00+00,Restaurant,6413,-78.58248301,35.85985873,M
1903541,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 04:00:00+00,Food Stand,6419,-78.62502539,35.80726948,M
1903542,04092010095,Bull And Bear,5442 SIX FORKS RD ,,RALEIGH,NC,27609-4436,(919) 847-3617,1991/05/02 04:00:00+00,Restaurant,6424,-78.64059702,35.85499105,M
1903543,04092013705,UDUPI Cafe,590 E Chatham St ,,CARY,NC,27511,(919) 465-0898,2002/10/29 04:00:00+00,Restaurant,6430,-78.76832214,35.79037457,M
1903544,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,6433,-78.59121781,35.90586931,M
1903545,04092110036,Douglas Elem Sch Cafeteria,600 ORTEGA RD ,,RALEIGH,NC,27609-5957,(919) 881-4894,1991/09/17 04:00:00+00,Public School Lunchrooms,6456,-78.62924972,35.83993445,M
1903546,04092110006,Adams Elementary Cafeteria,805 CARY TOWNE BLVD,,CARY,NC,27511-4255,(919) 460-3431,1991/09/17 04:00:00+00,Public School Lunchrooms,6458,-78.76166058,35.77739887,M
1903547,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,6472,-78.83920922,35.63987917,M
1903548,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 04:00:00+00,Restaurant,6473,-78.64681795,35.78777191,M
1903549,04092110516,ROGERS LANE ELEMENTARY SCHOOL,201 N ROGERS LN ,,RALEIGH,NC,27610,(919) 694-8670 ext. 26975,2017/06/01 04:00:00+00,Public School Lunchrooms,6501,-78.54771309,35.77787434,M
1903550,04092014039,Subway #12050,8711 Six Forks Rd,,RALEIGH,NC,27615,(919) 676-2610,2004/05/05 04:00:00+00,Restaurant,6510,-78.65461142,35.89932701,M
1903551,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 04:00:00+00,Institutional Food Service,6522,-78.58155103,35.80357736,M
1903552,04092014085,HOOTERS,1001 CLAREN CIR ,,MORRISVILLE,NC,27560,(919) 469-2900,2004/07/13 04:00:00+00,Restaurant,6537,-78.82295551,35.85640624,M
1903553,04092018039,Oak Steakhouse,417 W Hargett ST ,,RALEIGH,NC,27603,(984) 255-1818,2019/01/23 05:00:00+00,Restaurant,6545,-78.64560424,35.77781639,M
1903554,04092020232,Sandy Plain Mini Mart Grill,14833 CREEDMOOR RD ,,WAKE FOREST,NC,27587-8533,(919) 528-0292,1991/04/29 04:00:00+00,Food Stand,6553,-78.70017999,36.04951382,M
1903555,04092014269,Subway,1326 N Main ST ,,FUQUAY VARINA,NC,27526,(919) 552-2609,2005/02/10 05:00:00+00,Restaurant,6562,-78.77764359,35.59047244,M
1903556,04092014271,Salvio's Pizzeria,2428 SW Cary Pkwy,,CARY ,NC,27513,(919) 467-4600,2005/03/07 05:00:00+00,Restaurant,6563,-78.82085718,35.76363975,M
1903557,04092018559,Mainstay Suites Raleigh-Cary Foodservice,1020 Buck Jones RD ,,RALEIGH,NC,27606,(919) 468-4222,2021/03/16 04:00:00+00,Restaurant,6597,-78.74134284,35.7707241,M
1903558,04092014346,CARRABBA'S ITALIAN GRILL #8412,1201 HADDON HALL DR ,,APEX,NC,27502,(919) 387-6336,2005/07/01 04:00:00+00,Restaurant,6598,-78.87101375,35.74215088,M
1903559,04092013106,Sawmill Tap Room,7701 LEAD MINE RD,,RALEIGH,NC,27615-4829,(919) 845-7889,2000/01/14 05:00:00+00,Restaurant,6617,-78.66032463,35.88500866,M
1903560,04092013101,CAPITAL CITY CHOP HOUSE,151 AIRGATE DR,,MORRISVILLE,NC,27560-8495,(919) 484-7721,2000/02/02 05:00:00+00,Restaurant,6620,-78.81478867,35.86344916,M
1903561,04092013060,PNC 329,1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/29 04:00:00+00,Restaurant,6622,-78.7229363,35.8032419,M
1903562,04092110059,Lockhart Elementary Cafeteria,1320 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7726,(919) 266-8525 ext. 26483,1991/10/28 04:00:00+00,Public School Lunchrooms,6628,-78.48454627,35.80325743,M
1903563,04092110147,Knightdale High School Cafeteria,100 Bryan Chalk Ln ,,KNIGHTDALE,NC,27545,(919) 217-5350 ext. 25130,2004/07/26 04:00:00+00,Public School Lunchrooms,6660,-78.47681885,35.8105831,T
1903564,04092014123,New Wangs Kitchen,712 Laura Duncan RD ,,APEX,NC,27502,(919) 363-8030,2004/08/27 04:00:00+00,Restaurant,6663,-78.84201223,35.73509961,M
1903565,04092014176,Los Cuates Mexican Restaurant,4524 Old Wake Forest RD ,,RALEIGH,NC,27609,(919) 872-6012,2004/11/12 05:00:00+00,Restaurant,6666,-78.6099575,35.84195384,M
1903566,04092014182,NY Pizza,634 Holly Spring RD,,HOLLY SPRINGS,NC,27540,(919) 567-0505,2004/11/05 04:00:00+00,Restaurant,6667,-78.82480349,35.65381034,M
1903567,04092012120,Second Empire at Dodd-Hinsdale,330 HILLSBOROUGH ST ,,RALEIGH,NC,27603-1726,(919) 829-3663,1997/09/05 04:00:00+00,Restaurant,6671,-78.64468913,35.78102197,M
1903568,04092010556,Piccola Italia,423 WOODBURN RD,,RALEIGH,NC,27605-1323,(919) 833-6888,1991/03/19 04:00:00+00,Restaurant,6677,-78.66025735,35.7899673,M
1903569,04092011196,Administration Bldg. Snack Bar,116 W JONES ST ,,RALEIGH,NC,27603-1300,(919) 733-3488,1992/12/21 05:00:00+00,Restaurant,6704,-78.64075634,35.78327193,M
1903570,04092025264,Rush Bowl Raleigh,2811 HILLSBOROUGH ST ,105,RALEIGH,NC,27607-7283,(919) 703-0006,2019/07/01 04:00:00+00,Food Stand,6709,-78.67493842,35.78888931,M
1903571,04092021929,CIRCLE  K #3488,1032 N HARRISON  AVE ,,CARY,NC,27513,(919) 468-9848,2016/02/26 05:00:00+00,Food Stand,6710,-78.7823636,35.80445646,M
1903572,04092022028,PAPA MURPHY'S NC049,6106 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 790-7813,2017/08/09 04:00:00+00,Food Stand,6712,-78.6187408,35.86627943,M
1903573,04092016087,YAMATO,700 E WILLIAMS ST ,,APEX,NC,27502,(919) 303-8088,2012/01/17 05:00:00+00,Restaurant,6713,-78.84651301,35.7236133,M
1903574,04092011740,Burger King #9246,3500 POOLE RD ,,RALEIGH,NC,27610-2904,(919) 231-3008,1995/10/03 04:00:00+00,Restaurant,6721,-78.57714053,35.76737546,M
1903575,04092014221,Subway #2615,3416 POOLE RD ,STE 112,RALEIGH,NC,27610-2918,(919) 231-6223,2005/01/05 05:00:00+00,Restaurant,6742,-78.57953261,35.76724571,M
1903576,04092011334,Chick-fil-A,6612 GLENWOOD AVE ,,RALEIGH,NC,27612-7128,(919) 571-8480,1993/08/25 04:00:00+00,Restaurant,6748,-78.70866184,35.8610412,M
1903577,04092011339,AMF Snack Bar and Lounge,5501 COMMERCIAL AVE ,,RALEIGH,NC,27612-7002,,1993/09/01 04:00:00+00,Restaurant,6751,-78.70934766,35.85721165,M
1903578,04092014446,Carolina Ale House,7981 Skyland Ridge PKY ,,RALEIGH,NC,27606,(919) 957-4200,2005/12/02 05:00:00+00,Restaurant,6767,-78.78281819,35.91437536,M
1903579,04092014455,Pei Wei Asian Diner #108,10251 Little Brier Creek LN,,RALEIGH,NC,27617,(919) 484-4113,2005/12/01 05:00:00+00,Restaurant,6768,-78.78517004,35.91133497,M
1903580,04092021862,PAPA MURPHY'S NC046,3434 KILDAIRE FARMS RD ,SUITE 127,CARY,NC,27518,(919) 387-3500,2015/07/17 04:00:00+00,Food Stand,6769,-78.79563891,35.70595934,M
1903581,04092016338,HAMPTON INN & SUITES CRABTREE RALEIGH KITCHEN,3920 ARROW DR ,,RALEIGH,NC,27612,(919) 881-7080,2013/01/04 05:00:00+00,Restaurant,6772,-78.67285035,35.83620436,M
1903582,04092016339,CHANELLO'S PIZZA OF GARNER,3608 BENSON RD ,,GARNER,NC,27529,(919) 771-1000,2013/01/07 05:00:00+00,Restaurant,6773,-78.61153932,35.63067345,M
1903583,04092021298,Super Target #1932 (Deli & Starbucks),1201 Beaver Creek Commons Dr ,,APEX,NC,27502,(919) 372-1405,2004/11/05 04:00:00+00,Food Stand,6816,-78.87777438,35.74487977,M
1903584,04092011862,Zebulon BP Grill,603 W GANNON AVE,,ZEBULON,NC,27597-2511,(919) 231-1119,1996/04/25 04:00:00+00,Restaurant,6821,-78.32832184,35.81991083,M
1903585,04092016307,CHILI'S #1534,1201 MARKET CENTER DR ,,MORRISVILLE,NC,27560,(919) 468-3290,2012/11/21 05:00:00+00,Restaurant,6833,-78.81676023,35.80454378,M
1903586,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8405 LEESVILLE RD ,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 04:00:00+00,Public School Lunchrooms,6850,-78.71776597,35.88906793,M
1903587,04092020610,Harris Teeter #26 Produce ,7400 CREEDMOOR RD,,RALEIGH,NC,27613-1639,(919) 848-1464,1994/05/25 04:00:00+00,Food Stand,6859,-78.67820041,35.88787167,M
1903588,04092030286,JESSICA'S (WCID #540),10125 DIVISION DR ,Mobile Food Unit,RALEIGH,NC,27603,(919) 687-6420,2015/09/21 04:00:00+00,Mobile Food Units,6884,-78.7114342,35.63398295,M
1903589,04092017071,PERI BROTHERS PIZZA,7321 SIX FORKS RD ,,RALEIGH,NC,27615,(919) 844-6692,2015/11/06 05:00:00+00,Restaurant,6891,-78.64725808,35.88069032,M
1903590,04092110091,Swift Creek Elem. Sch. Cafeteria,5601 TRYON RD ,,RALEIGH,NC,27606-4451,(919) 233-4328,1992/08/20 04:00:00+00,Public School Lunchrooms,6901,-78.73415019,35.74422453,M
1903591,04092011426,"Atrium Cafe, The","500 SAS Campus Dr,  Bldg R ",Building R,CARY,NC,27513,(919) 531-9380,1994/01/28 05:00:00+00,Restaurant,6913,-78.75797326,35.82399374,M
1903592,04092011501,BOSTON MARKET,4558 Capital Blv ,,RALEIGH,NC,27604-4353,(919) 981-7450,1994/08/22 04:00:00+00,Restaurant,6920,-78.57896604,35.84571366,M
1903593,04092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 04:00:00+00,Restaurant,6928,-78.64378535,35.77679428,M
1903594,04092014979,Jasmin Mediterranean Bistro,2430 Hillsborough ST ,,RALEIGH,NC,27607,(919) 755-9991,2007/10/22 04:00:00+00,Restaurant,6931,-78.66782878,35.7879186,M
1903595,04092030517,Javy's Deleite (WCID #807),2235 NEW HOPE CHURCH RD,Check Cash Business,RALEIGH,NC,27604-1600,(919) 291-1030,2021/01/29 05:00:00+00,Mobile Food Units,6935,-78.60014049,35.83523955,M
1903596,04092300027,Sam's Club #8223 Meat Market,2537 S SAUNDERS ST ,,RALEIGH,NC,27603-2843,(919) 839-1700,1992/08/06 04:00:00+00,Meat Market,6982,-78.64662127,35.75036941,M
1903597,04092110517,Green Level High School Cafeteria,7600 ROBERTS RD ,,CARY,NC,27519,(919) 694-8222 ext. 27984,2017/05/16 04:00:00+00,Public School Lunchrooms,6996,-78.89828034,35.77347438,M
1903598,04092025283,H Mart Thai Koon Nine,1961 HIGH HOUSE RD,,CARY,NC,27519,,2019/09/23 04:00:00+00,Restaurant,6997,-78.84865444,35.78921622,M
1903599,04092016125,PANERA BREAD #1649,7840 ALEXANDER PROMENADE PL ,Ste 100,RALEIGH,NC,27617,(919) 293-0900,2012/03/28 04:00:00+00,Restaurant,7001,-78.77695631,35.91424375,M
1903600,04092021339,Harris Teeter #104 Deli,4093 Davis DR ,,MORRISVILLE,NC,27560,(919) 380-0354,2005/08/05 04:00:00+00,Food Stand,7002,-78.85811603,35.8356265,M
1903601,04092021348,Lowes Foods #224 Produce,8100 Brier Creek PKY ,,RALEIGH,NC,27616,(919) 293-0294,2005/08/15 04:00:00+00,Food Stand,7003,-78.78577668,35.91011447,M
1903602,04092110090,Pleasant Union Elem.School Cafet.,1900 PLEASANT UNION CHURCH RD ,,RALEIGH,NC,27614-7103,(919) 870-4230 ext. 20424,1992/08/20 04:00:00+00,Public School Lunchrooms,7008,-78.67273066,35.95029393,M
1903603,04092013049,PNC 112 (Mexican),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 04:00:00+00,Restaurant,7031,-78.7229363,35.8032419,M
1903604,04092110487,ALSTON RIDGE ELEMENTARY SCHOOL CAFETERIA,11555 GREEN LEVEL CHURCH  RD ,,CARY,NC,27519,(919) 544-2474 ext. 20151,2009/11/13 05:00:00+00,Public School Lunchrooms,7037,-78.89958886,35.85921379,M
1903605,04092017462,JASMIN MEDITERRANEAN BISTRO,2501 BLUE RIDGE RD ,SUITE G-190,RALEIGH,NC,27607,(919) 800-8599,2016/11/09 05:00:00+00,Restaurant,7038,-78.70656515,35.81500557,M
1903606,04092021343,Lowes Foods #224 Beef Shop,8100 Brier Creek PKY ,,RALEIGH,NC,27616,(336) 659-0180,2005/08/15 04:00:00+00,Food Stand,7057,-78.78577668,35.91011447,M
1903607,04092300052,Harris Teeter #289 Meat Market,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/08/26 04:00:00+00,Meat Market,7094,-78.66059857,35.81550372,M
1903608,04092018351,Tropical Smoothie Cafe,817 Bass Pro LN ,,CARY,NC,27513,(919) 378-9333,2020/04/22 04:00:00+00,Restaurant,7139,-78.77007317,35.83116175,M
1903609,04092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 05:00:00+00,Restaurant,7179,-78.69211011,35.84689434,M
1903610,04092020555,Fast Food Mart,2285 New Hope Church Rd,,RALEIGH,NC,27604-1662,(919) 876-1666,1993/08/25 04:00:00+00,Food Stand,7187,-78.59952341,35.83532643,M
1903611,04092018663,Burger King #6563,12301 Capital  BLVD ,,WAKE FOREST ,NC,27587,(919) 556-3585,2021/06/28 04:00:00+00,Restaurant,7216,-78.5394356,35.98203922,M
1903612,04092040325,WICKED LINKS #1 (WCID #493),4601 CAPITAL BLVD,,RALEIGH,NC,27615,(919) 855-8548,2014/08/16 04:00:00+00,Pushcarts,7223,-78.58176392,35.84605672,M
1903613,04092014404,CHICK-FIL-A,1460 N MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 577-1030,2005/10/18 04:00:00+00,Restaurant,7060,-78.76924504,35.59378425,M
1903614,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 04:00:00+00,Public School Lunchrooms,7233,-78.31172209,35.83148192,M
1903615,04092110124,Middle Creek Elem. Sch. Cafeteria,110 MIDDLE CREEK PARK AVE ,,APEX,NC,27539-7982,(919) 773-9570,2000/08/23 04:00:00+00,Public School Lunchrooms,7234,-78.75946583,35.67025019,M
1903616,04092015577,AMEDEO'S,3905 WESTERN  BLVD ,,RALEIGH,NC,27606,,2010/03/04 05:00:00+00,Restaurant,7237,-78.69045749,35.78405439,M
1903617,04092017729,Whole Foods Market #10611 Produce,5055 Arco ST ,,CARY,NC,27519,(984) 228-0300,2017/11/03 04:00:00+00,Restaurant,7238,-78.88191924,35.83347908,M
1903618,04092016641,DeM0'S PIZZERIA & DELI,222-121 GLENWOOD AVE ,,RALEIGH,NC,27613,(919) 754-1050,2014/03/13 04:00:00+00,Restaurant,7140,-78.64733509,35.78392897,M
